STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,VEHICLE_TYPE,Vehicle type,INFRASTRUCTURE_TYPE,Infrastructure type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,NOR,Norway,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,NZL,New Zealand,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,NZL,New Zealand,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,NZL,New Zealand,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,NZL,New Zealand,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,NZL,New Zealand,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,MEX,Mexico,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,MEX,Mexico,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,MEX,Mexico,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,MEX,Mexico,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,MEX,Mexico,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,KOR,Korea,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,KOR,Korea,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,KOR,Korea,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,KOR,Korea,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,KOR,Korea,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,JPN,Japan,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,JPN,Japan,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,JPN,Japan,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,JPN,Japan,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,JPN,Japan,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISR,Israel,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISR,Israel,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISR,Israel,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISR,Israel,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISR,Israel,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,IRL,Ireland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,IRL,Ireland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,IRL,Ireland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,IRL,Ireland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,IRL,Ireland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,IWW,Waterways,_T,Total,IWW,Navigable inland waterways,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,LVA,Latvia,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,MOTORWAYS,Motorways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,LVA,Latvia,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,MOTORWAYS,Motorways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,ELEC,Electrified,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,TRACKS,Rail tracks,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,MOTORWAYS,Motorways,2023,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,MOTORWAYS,Motorways,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,TRACKS,Rail tracks,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,ELEC,Electrified,2022,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,ELEC,Electrified,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,TRACKS,Rail tracks,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,MOTORWAYS,Motorways,2021,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,MOTORWAYS,Motorways,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,TRACKS,Rail tracks,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,ELEC,Electrified,2020,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,ELEC,Electrified,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,RAIL,Rail,_T,Total,TRACKS,Rail tracks,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
DATAFLOW,OECD.ITF:DSD_TRENDS@DF_TRENDSINFR(1.0),Annual length of inland transport infrastructure,I,ISL,Iceland,A,Annual,INFRASTRUCTURE,Length of transport infrastructure,KM,Kilometres,ROAD,Road,_T,Total,MOTORWAYS,Motorways,2019,,,,M,Missing value; data cannot exist,0,Units,1,One
